# Temporal budget -- fastest oscillating term per scene
#
# ceilings: full-field brightness 3 Hz | hue 2 Hz | camera/geometry 4 Hz | local detail 8.0 Hz
# rates: time 1.0/s, audioPhase ~1.2 rad/s, audioAdvance ~0.25/s
#
scene                                                   Hz  term
StainedGlassRosette                                   0.02  audioAdvance*0.6 (StainedGlassRosette.frag)
BeatLattice                                           0.02  audioPhase*0.12 (BeatLattice.frag)
BreathingFractal                                      0.02  audioPhase*0.12 (BreathingFractal.frag)
BreathingFractalNoir                                  0.02  audioPhase*0.12 (BreathingFractalNoir.frag)
BreathingFractalZoom                                  0.02  audioPhase*0.12 (BreathingFractalZoom.frag)
ChromeDreams                                          0.02  audioPhase*0.12 (ChromeDreams.frag)
DiscoGodrays                                          0.02  audioPhase*0.12 (DiscoGodrays.frag)
DroneDepths                                           0.02  audioPhase*0.12 (DroneDepths.frag)
FlowingWires                                          0.02  audioPhase*0.12 (FlowingWires.frag)
HexKaleido                                            0.02  audioPhase*0.12 (HexKaleido.frag)
InsideSystem                                          0.02  audioPhase*0.12 (InsideSystem.frag)
Metamorph                                             0.02  audioPhase*0.12 (Metamorph.frag)
MobiusOrbs                                            0.02  audioPhase*0.12 (MobiusOrbs.frag)
NeonTubes                                             0.02  audioPhase*0.12 (NeonTubes.frag)
NoiseSpiral                                           0.02  audioPhase*0.12 (NoiseSpiral.frag)
OrganicFlow                                           0.02  audioPhase*0.12 (OrganicFlow.frag)
PsychedelicPills                                      0.02  audioPhase*0.12 (PsychedelicPills.frag)
RaymarchTunnel                                        0.02  audioPhase*0.12 (RaymarchTunnel.frag)
SphereGrid                                            0.02  audioPhase*0.12 (SphereGrid.frag)
TheCore                                               0.02  audioPhase*0.12 (TheCore.frag)
Vortex                                                0.02  audioPhase*0.12 (Vortex.frag)
Voyager                                               0.02  audioPhase*0.12 (Voyager.frag)
PixelMelt                                             0.02  audioAdvance*0.55 (PixelMelt.frag)
LiquidMetal                                           0.02  time*0.13 (LiquidMetal.frag)
NonEuclideanDodecahedronLoom                          0.02  time*0.13 (NonEuclideanDodecahedronLoom.vert)
SPHFluidSplash                                        0.02  time*0.13 (SPHFluidSplash.vert)
SpectrumArena                                         0.02  time*0.13 (SpectrumArena.vert)
SynchrotronRadiationRing                              0.02  time*0.13 (SynchrotronRadiationRing.vert)
InkWater                                              0.02  audioPhase*0.1 (InkWater.frag)
SelfSimilarity                                        0.02  audioPhase*0.1 (SelfSimilarity.frag)
GlacierTessellation                                   0.02  time*0.12 (GlacierTessellation.tese)
Harmonograph                                          0.02  time*0.12 (Harmonograph.vert)
StrangeAttractor                                      0.02  time*0.12 (StrangeAttractor.vert)
ClothDrape                                            0.02  time*0.11 (ClothDrape.frag)
FractalKIFS                                           0.02  time*0.11 (FractalKIFS.frag)
BoseEinsteinVortexTangle                              0.02  time*0.11 (BoseEinsteinVortexTangle.vert)
CubeWave                                              0.02  time*0.11 (CubeWave.vert)
GeomagneticDynamoCore                                 0.02  time*0.11 (GeomagneticDynamoCore.vert)
MyceliumNeuralPulse                                   0.02  time*0.11 (MyceliumNeuralPulse.vert)
RelativisticAccretionTorusMHD                         0.02  time*0.11 (RelativisticAccretionTorusMHD.frag)
SnowDrift                                             0.02  time*0.11 (SnowDrift.vert)
TeslaLightningTree                                    0.02  time*0.11 (TeslaLightningTree.vert)
MetaSculpt                                            0.02  time*0.105 (MetaSculpt.vert)
CrystalCave                                           0.02  time*0.1 (CrystalCave.vert)
FeatherStorm                                          0.02  audioAdvance*0.4 (FeatherStorm.comp)
MirrorShatterExplosion                                0.02  time*0.1 (MirrorShatterExplosion.geom)
Skyburst                                              0.02  time*0.1 (Skyburst.frag)
SpiralArray                                           0.02  time*0.1 (SpiralArray.vert)
ThunderCloud                                          0.02  time*0.1 (ThunderCloud.vert)
FerroSpikes                                           0.01  time*0.09 (FerroSpikes.frag)
BloomSculpt                                           0.01  audioAdvance*0.31 (BloomSculpt.tese)
ShadowForest                                          0.01  audioAdvance*0.3 (ShadowForest.comp)
VoronoiShatter                                        0.01  audioAdvance*0.25 (VoronoiShatter.frag)
CrystalGrowth                                         0.01  time*0.06 (CrystalGrowth.vert)
FractalFlame                                          0.01  audioAdvance*0.2 (FractalFlame.frag)
JuliaAudioMorph                                       0.01  time*0.05 (JuliaAudioMorph.frag)
HelixTower                                            0.01  time*0.05 (HelixTower.vert)
SpectralTorus                                         0.01  time*0.047 (SpectralTorus.vert)
Planet4D                                              0.01  time*0.041 (Planet4D.vert)
Bubble                                                0.01  audioAdvance*0.15 (Bubble.frag)
IceCrack                                              0.01  audioAdvance*0.15 (IceCrack.frag)
ParticleGalaxy                                        0.00  time*0.031 (ParticleGalaxy.vert)
FeedbackKaleidoscope                                  0.00  time*0.03 (FeedbackKaleidoscope.frag)
Ocean                                                 0.00  time*0.03 (Ocean.frag)
PrismaticCrystalChamber                               0.00  audioAdvance*0.1 (PrismaticCrystalChamber.frag)
Murmuration                                           0.00  time*0.02 (Murmuration.frag)
Blueprint                                             0.00  audioAdvance*0.08 (Blueprint.geom)
SpectroCanyon                                         0.00  audioAdvance*0.08 (SpectroCanyon.tese)
ErodedLand                                            0.00  audioAdvance*0.07 (ErodedLand.frag)
InkTank                                               0.00  audioAdvance*0.07 (InkTank.frag)
Tonnetz                                               0.00  audioAdvance*0.07 (Tonnetz.frag)
Phyllotaxis                                           0.00  time*0.017 (Phyllotaxis.vert)
Halftone                                              0.00  audioAdvance*0.06 (Halftone.frag)
GrowthTree                                            0.00  audioAdvance*0.055 (GrowthTree.comp)
CoralGrowth                                           0.00  audioAdvance*0.05 (CoralGrowth.vert)
FlowRibbons                                           0.00  audioAdvance*0.05 (FlowRibbons.vert)
PillarHall                                            0.00  audioAdvance*0.05 (PillarHall.vert)
SpectrumCity                                          0.00  audioAdvance*0.05 (SpectrumCity.vert)
SpectroWeave                                          0.00  audioAdvance*0.045 (SpectroWeave.vert)
Origami                                               0.00  audioAdvance*0.037 (Origami.vert)
CathedralGlass                                        0.00  audioAdvance*0.031 (CathedralGlass.vert)
VideoRelief                                           0.00  audioAdvance*0.03 (VideoRelief.vert)
AbyssalLuminescence                                   0.00  audioAdvance*0.013 (AbyssalLuminescence.frag)
AcousticBlackHoleEventHorizon                         0.00  audioAdvance*0.013 (AcousticBlackHoleEventHorizon.frag)
AizawaAttractorSphereVortex                           0.00  audioAdvance*0.013 (AizawaAttractorSphereVortex.frag)
AlcubierreWarpDriveHighway                            0.00  audioAdvance*0.013 (AlcubierreWarpDriveHighway.frag)
AnamorphicMirrorLabyrinth                             0.00  audioAdvance*0.013 (AnamorphicMirrorLabyrinth.frag)
AnomalousFloquetTopologicalInsulator                  0.00  audioAdvance*0.013 (AnomalousFloquetTopologicalInsulator.frag)
ApollonianGasketNebulaFlight                          0.00  audioAdvance*0.013 (ApollonianGasketNebulaFlight.frag)
ApollonianSpherePackingDive                           0.00  audioAdvance*0.013 (ApollonianSpherePackingDive.frag)
ApollonianSpherePackingGasket                         0.00  audioAdvance*0.013 (ApollonianSpherePackingGasket.frag)
AuroraBorealisCurtainFlight                           0.00  audioAdvance*0.013 (AuroraBorealisCurtainFlight.frag)
BallisticGrapheneElectronFocussing                    0.00  audioAdvance*0.013 (BallisticGrapheneElectronFocussing.frag)
BelousovZhabotinskyChemicalWave                       0.00  audioAdvance*0.013 (BelousovZhabotinskyChemicalWave.frag)
BioCellularInfiniteZoom                               0.00  audioAdvance*0.013 (BioCellularInfiniteZoom.frag)
BioLuminescentTendrilTunnel                           0.00  audioAdvance*0.013 (BioLuminescentTendrilTunnel.frag)
BioNeuralDendriteZoom                                 0.00  audioAdvance*0.013 (BioNeuralDendriteZoom.frag)
BioluminescentDeepSeaCombJelly                        0.00  audioAdvance*0.013 (BioluminescentDeepSeaCombJelly.frag)
BioluminescentDeepSeaTrenchDive                       0.00  audioAdvance*0.013 (BioluminescentDeepSeaTrenchDive.frag)
BoseEinsteinGiantVortexTurbulence                     0.00  audioAdvance*0.013 (BoseEinsteinGiantVortexTurbulence.frag)
BuddhabrotCosmicGhost                                 0.00  audioAdvance*0.013 (BuddhabrotCosmicGhost.frag)
BuffaloFractalThunderstorm                            0.00  audioAdvance*0.013 (BuffaloFractalThunderstorm.frag)
BurningShipDeepVoyage                                 0.00  audioAdvance*0.013 (BurningShipDeepVoyage.frag)
CalabiYauManifoldKaleido                              0.00  audioAdvance*0.013 (CalabiYauManifoldKaleido.frag)
CasimirCavityVacuumFluctuations                       0.00  audioAdvance*0.013 (CasimirCavityVacuumFluctuations.frag)
CatatumboRelightningTower                             0.00  audioAdvance*0.013 (CatatumboRelightningTower.frag)
CavityOptomechanicsPhononLasing                       0.00  audioAdvance*0.013 (CavityOptomechanicsPhononLasing.frag)
CelticMandelbrotGothicVault                           0.00  audioAdvance*0.013 (CelticMandelbrotGothicVault.frag)
ChiralNematicBeetleCuticle                            0.00  audioAdvance*0.013 (ChiralNematicBeetleCuticle.frag)
ChiralNematicLiquidCrystal                            0.00  audioAdvance*0.013 (ChiralNematicLiquidCrystal.frag)
ChronoSynapticMandala                                 0.00  audioAdvance*0.013 (ChronoSynapticMandala.frag)
CliffordAttractorSilkRibbons                          0.00  audioAdvance*0.013 (CliffordAttractorSilkRibbons.frag)
CliffordTorusStereographicKaleido                     0.00  audioAdvance*0.013 (CliffordTorusStereographicKaleido.frag)
CollatzFractalTreeAbyss                               0.00  audioAdvance*0.013 (CollatzFractalTreeAbyss.frag)
ConformalLogPolarDive                                 0.00  audioAdvance*0.013 (ConformalLogPolarDive.frag)
CosmicRayAirShowerCherenkov                           0.00  audioAdvance*0.013 (CosmicRayAirShowerCherenkov.frag)
CosmicRayTransitionRadiation                          0.00  audioAdvance*0.013 (CosmicRayTransitionRadiation.frag)
CrystalGeodeCavernFlight                              0.00  audioAdvance*0.013 (CrystalGeodeCavernFlight.frag)
CrystalGrowth                                         0.00  audioAdvance*0.013 (CrystalGrowth.frag)
CurlAurora                                            0.00  audioAdvance*0.013 (CurlAurora.frag)
CyberpunkSynthGridHighwayFly                          0.00  audioAdvance*0.013 (CyberpunkSynthGridHighwayFly.frag)
DichroicInfinityPrismVault                            0.00  audioAdvance*0.013 (DichroicInfinityPrismVault.frag)
DichroicPrismLaserField                               0.00  audioAdvance*0.013 (DichroicPrismLaserField.frag)
DiracConeGrapheneValleytronics                        0.00  audioAdvance*0.013 (DiracConeGrapheneValleytronics.frag)
EinsteinRingGravitationalLens                         0.00  audioAdvance*0.013 (EinsteinRingGravitationalLens.frag)
EventHorizonSingularityPlunge                         0.00  audioAdvance*0.013 (EventHorizonSingularityPlunge.frag)
FerroelectricDomainVortexArray                        0.00  audioAdvance*0.013 (FerroelectricDomainVortexArray.frag)
FerrofluidMagneticSpikeSurge                          0.00  audioAdvance*0.013 (FerrofluidMagneticSpikeSurge.frag)
FerrofluidSpikeForest                                 0.00  audioAdvance*0.013 (FerrofluidSpikeForest.frag)
FerrohydrodynamicRosensweigSpikes                     0.00  audioAdvance*0.013 (FerrohydrodynamicRosensweigSpikes.frag)
FireWhirlTornado                                      0.00  audioAdvance*0.013 (FireWhirlTornado.frag)
FluidChladniKaleidoResonance                          0.00  audioAdvance*0.013 (FluidChladniKaleidoResonance.frag)
FluidChromaMarangoniConvection                        0.00  audioAdvance*0.013 (FluidChromaMarangoniConvection.frag)
FractalBloom                                          0.00  audioAdvance*0.013 (FractalBloom.frag)
FractalMorphoDendrite                                 0.00  audioAdvance*0.013 (FractalMorphoDendrite.frag)
FractalPortalRecursionHall                            0.00  audioAdvance*0.013 (FractalPortalRecursionHall.frag)
GalacticAccretionStreamFlight                         0.00  audioAdvance*0.013 (GalacticAccretionStreamFlight.frag)
GyroidTriplyPeriodicLabyrinth                         0.00  audioAdvance*0.013 (GyroidTriplyPeriodicLabyrinth.frag)
GyroidalInterferenceKaleido                           0.00  audioAdvance*0.013 (GyroidalInterferenceKaleido.frag)
HarmonicRings                                         0.00  audioAdvance*0.013 (HarmonicRings.frag)
HawkingRadiationEvaporation                           0.00  audioAdvance*0.013 (HawkingRadiationEvaporation.frag)
HexagonalLaserMatrixTunnel                            0.00  audioAdvance*0.013 (HexagonalLaserMatrixTunnel.frag)
HilbertSpaceFillingCurveZoom                          0.00  audioAdvance*0.013 (HilbertSpaceFillingCurveZoom.frag)
HolographicDiffractionGratingMandala                  0.00  audioAdvance*0.013 (HolographicDiffractionGratingMandala.frag)
HopfFibrationStreamlines                              0.00  audioAdvance*0.013 (HopfFibrationStreamlines.frag)
HyperToroidalRollerCoaster                            0.00  audioAdvance*0.013 (HyperToroidalRollerCoaster.frag)
HyperbolicEscherCircleLimit                           0.00  audioAdvance*0.013 (HyperbolicEscherCircleLimit.frag)
HyperbolicHoneycombTessellation                       0.00  audioAdvance*0.013 (HyperbolicHoneycombTessellation.frag)
HyperbolicKnotFlight                                  0.00  audioAdvance*0.013 (HyperbolicKnotFlight.frag)
HyperbolicMetamaterialSpacetime                       0.00  audioAdvance*0.013 (HyperbolicMetamaterialSpacetime.frag)
HyperbolicPenroseZoomAbyss                            0.00  audioAdvance*0.013 (HyperbolicPenroseZoomAbyss.frag)
HyperbolicPoincareTunnel                              0.00  audioAdvance*0.013 (HyperbolicPoincareTunnel.frag)
HyperbolicTilingPolyhedralFlight                      0.00  audioAdvance*0.013 (HyperbolicTilingPolyhedralFlight.frag)
HyperspaceGridToroidTube                              0.00  audioAdvance*0.013 (HyperspaceGridToroidTube.frag)
HyperspaceKaleidoscopicMatrix                         0.00  audioAdvance*0.013 (HyperspaceKaleidoscopicMatrix.frag)
InfinitePsychedelicDrosteVortex                       0.00  audioAdvance*0.013 (InfinitePsychedelicDrosteVortex.frag)
InterstellarNebulaWarpCruise                          0.00  audioAdvance*0.013 (InterstellarNebulaWarpCruise.frag)
JosephsonVortexFluxonLattice                          0.00  audioAdvance*0.013 (JosephsonVortexFluxonLattice.frag)
KaleidoscopicBismuthLattice                           0.00  audioAdvance*0.013 (KaleidoscopicBismuthLattice.frag)
KaleidoscopicLichtenbergZoom                          0.00  audioAdvance*0.013 (KaleidoscopicLichtenbergZoom.frag)
KilonovaRadioactiveAfterglow                          0.00  audioAdvance*0.013 (KilonovaRadioactiveAfterglow.frag)
KleinBottleHyperLoopDive                              0.00  audioAdvance*0.013 (KleinBottleHyperLoopDive.frag)
KleinQuarticHyperbolicCurve                           0.00  audioAdvance*0.013 (KleinQuarticHyperbolicCurve.frag)
KleinianLimitSetAbyss                                 0.00  audioAdvance*0.013 (KleinianLimitSetAbyss.frag)
LaserCavityTransverseModes                            0.00  audioAdvance*0.013 (LaserCavityTransverseModes.frag)
LiebLatticeFlatBandLocalization                       0.00  audioAdvance*0.013 (LiebLatticeFlatBandLocalization.frag)
LiquidChromeHyperSwirl                                0.00  audioAdvance*0.013 (LiquidChromeHyperSwirl.frag)
LiquidCrystalBluePhaseLattice                         0.00  audioAdvance*0.013 (LiquidCrystalBluePhaseLattice.frag)
LiquidMarbleEbruAcidWash                              0.00  audioAdvance*0.013 (LiquidMarbleEbruAcidWash.frag)
LiquidMercuryFerrofluidChamber                        0.00  audioAdvance*0.013 (LiquidMercuryFerrofluidChamber.frag)
LogarithmicSpiralChamberZoom                          0.00  audioAdvance*0.013 (LogarithmicSpiralChamberZoom.frag)
LorenzAttractorHyperLoom                              0.00  audioAdvance*0.013 (LorenzAttractorHyperLoom.frag)
LuciferinBioluminescentWavefront                      0.00  audioAdvance*0.013 (LuciferinBioluminescentWavefront.frag)
LyapunovSpaceBioLoom                                  0.00  audioAdvance*0.013 (LyapunovSpaceBioLoom.frag)
MagnetarCrustquakeSGR                                 0.00  audioAdvance*0.013 (MagnetarCrustquakeSGR.frag)
MagnetohydrodynamicSolarGranulation                   0.00  audioAdvance*0.013 (MagnetohydrodynamicSolarGranulation.frag)
MagnetosphericBowShockTurbulence                      0.00  audioAdvance*0.013 (MagnetosphericBowShockTurbulence.frag)
MajoranaZeroModeBraid                                 0.00  audioAdvance*0.013 (MajoranaZeroModeBraid.frag)
MandelboxHyperCubeMetamaterial                        0.00  audioAdvance*0.013 (MandelboxHyperCubeMetamaterial.frag)
MandelbrotDeepZoom                                    0.00  audioAdvance*0.013 (MandelbrotDeepZoom.frag)
MandelbulbInfiniteDive                                0.00  audioAdvance*0.013 (MandelbulbInfiniteDive.frag)
MarangoniConvectionTearsOfWine                        0.00  audioAdvance*0.013 (MarangoniConvectionTearsOfWine.frag)
MetamaterialCloakingHorizon                           0.00  audioAdvance*0.013 (MetamaterialCloakingHorizon.frag)
MobiusInversionKaleidoscope                           0.00  audioAdvance*0.013 (MobiusInversionKaleidoscope.frag)
MobiusStripRollerDrive                                0.00  audioAdvance*0.013 (MobiusStripRollerDrive.frag)
NeonCyberVoxelFlight                                  0.00  audioAdvance*0.013 (NeonCyberVoxelFlight.frag)
NestedMandalaInfiniteDive                             0.00  audioAdvance*0.013 (NestedMandalaInfiniteDive.frag)
